time,displacement,velocity,acceleration
0.0,0.0,0.0,1.5
0.01,7.531283706970135e-05,0.015093466339949633,1.518539704339232
0.02,0.00030247194733249436,0.03036771527891376,1.53615577778891
0.03,0.0006832389028216198,0.04581348896348489,1.5528439830433058
0.04,0.0012192824923324369,0.06142148931578396,1.568600512577621
0.05,0.0019121783406723738,0.07718238233287951,1.583421988939597
0.06,0.002763408570916614,0.09308680238821235,1.5973054648590364
0.07,0.0037743615096804744,0.10912535653320606,1.6102484231755108
0.08,0.004946331435401247,0.12528862879724698,1.6222487765846005
0.09,0.006280518369604134,0.1415671844842209,1.6333048672030894
0.1,0.0077780279111087985,0.1579515744637986,1.643415465953614
0.11,0.009439871113114997,0.17443233945566744,1.6525797717693365
0.12,0.01126696440308778,0.19100001430491254,1.660797410619281
0.13,0.013260129545344772,0.20764513224675737,1.6680684343550578
0.14,0.015420093646230251,0.22435822915888215,1.674393319379754
0.15,0.017747489201742885,0.24112984779954516,1.679772965139865
0.16,0.02024285418746634,0.25795054202974266,1.6842086924411859
0.17,0.022906632190634376,0.2748108810176517,1.6877022415896807
0.18,0.0257391725841445,0.29170145342361076,1.6902557703583925
0.19,0.028740730742316884,0.3086128715639046,1.6918718517815539
0.2,0.03191146829817797,0.32553577555163127,1.6925534717770978
0.21,0.035251453442031025,0.34246083741294153,1.692304026598869
0.22,0.03876066126105892,0.35937876517695433,1.691127320119879
0.23,0.04243897411968735,0.3762803069376663,1.6890275609480327
0.24,0.046286182080420235,0.39315625488618655,1.6860093593758099
0.25,0.05030198336484216,0.40999744931164517,1.6820777241654659
0.26,0.05448598485446646,0.42679478256913744,1.6772380591713658
0.27,0.05883770263109116,0.4435392030130844,1.6714961598011446
0.28,0.06335656255630892,0.46022171889440633,1.6648582093174418
0.29,0.06804190088980118,0.47683340221992393,1.6573307749820312
0.3,0.07289296494603088,0.4933653925724208,1.648920804044221
0.31,0.07790891378893271,0.509808900889819,1.6396356195754627
0.32,0.08308881896418421,0.5261552132019405,1.6294829161521833
0.33,0.0884316652686263,0.542395694323346,1.6184707553888886
0.34,0.09393635155638615,0.5585217915007656,1.6066075613236706
0.35000000000000003,0.09960169158124141,0.5745250380136555,1.593902115658298
0.36,0.1054264148747495,0.5903970567264374,1.5803635528551259
0.37,0.11140916765965182,0.6061295635910009,1.566001355093127
0.38,0.11754851379804843,0.6217143710980719,1.5508253470853863
0.39,0.12384293577382503,0.6371433916760729,1.5348456907604773
0.4,0.13029083570880043,0.6524086410361268,1.5180728798101688
0.41000000000000003,0.13689053641204918,0.6675022414618796,1.5005177341059837
0.42,0.14364028246184107,0.6824164250428444,1.4821913939871698
0.43,0.15053824131962645,0.697143536849992,1.463105314422697
0.44,0.15758250447548347,0.7116760380523435,1.443271259049948
0.45,0.16477108862443104,0.7260065089733441,1.422701294092814
0.46,0.17210193687299968,0.7401276520858266,1.401407782161954
0.47000000000000003,0.17957291997543987,0.7540322949444002,1.3794033759400222
0.48,0.18718183759893678,0.7677133930541271,1.3567010117547187
0.49,0.19492641961718854,0.7811640326743827,1.3333139030425536
0.5,0.2028043274316946,0.7943774335568176,1.3092555337062568
0.51,0.21081315532008976,0.8073469516163746,1.2845396513688212
0.52,0.21895043181084936,0.8200660815343428,1.2591802605271845
0.53,0.22721362108368115,0.8325284592924583,1.2331916156086136
0.54,0.2356001243949094,0.8447278646370959,1.2065882139328798
0.55,0.24410728152714742,0.8566582234726238,1.1793847885833553
0.56,0.25273237226254575,0.8683136101830276,1.151596301190191
0.5700000000000001,0.26147261787889436,0.87968824988094,1.1232379346287802
0.58,0.2703251826678487,0.8907765205832441,1.0943250856367244
0.59,0.2792871754745411,0.9015729553124534,1.0648733573525706
0.6,0.28835565125783214,0.9120722441231011,1.0348985517796025
0.61,0.29752761267044714,0.9222692360524064,1.0044166621780068
0.62,0.3068000116582386,0.9321589409945189,0.9734438653887497
0.63,0.31616975107780565,0.9417365314976736,0.941996514092535
0.64,0.325633686331697,0.950997344483625,0.9100911290072411
0.65,0.33518862702041735,0.9599368828887632,0.8777443910272339
0.66,0.3448313386104509,0.9685508172263454,0.8449731333080104
0.67,0.35455854411751025,0.9768349870693157,0.811794333299609
0.68,0.364366925804215,0.9847854024532173,0.7782251047322658
0.6900000000000001,0.37425312689139717,0.992398245198737,0.7442826895578075
0.7000000000000001,0.38421375328222934,0.9996698701534561,0.7099844498502753
0.71,0.3942453752983639,1.0065968063524198,0.6753478596693028
0.72,0.40434452942727106,1.0131757580971674,0.6403904968897749
0.73,0.414507720079958,1.0194036059529064,0.6051300350013055
0.74,0.4247314213582494,1.025277407663544,0.5695842348810825
0.75,0.43501207883080595,1.0307943989843305,0.533770936543638
0.76,0.44534611131705754,1.0359519944318978,0.4977080508711035
0.77,0.4557299126782219,1.0407477879515195,0.46141355132751694
0.78,0.466159853614582,1.0451795535014476,0.42490546566075404
0.79,0.4766322834681918,1.0492452455542232,0.388201867595651
0.8,0.4871435320301792,1.0529429995148878,0.3513208685218995
0.81,0.4976899113518158,1.0562711320560636,0.3142806091802727
0.8200000000000001,0.5082677175585218,1.059228141369901,0.2770992513507613
0.8300000000000001,0.5188732326659748,1.0618127073369334,0.23979496954617696
0.84,0.5295027263974917,1.0640236916119095,0.2023859427147856
0.85,0.5401524580018546,1.0658601376267116,0.16489034595551777
0.86,0.550818678070752,1.0673212705105046,0.12732634224930384
0.87,0.561497630355008,1.0684064969272926,0.08971207421006211
0.88,0.5721855535787749,1.0691154048310987,0.05206565585886391
